textOriginal,text_clean,label,split
"​@ahihiho.jangan bandingin sama albert, albert dah main di MDL satu season, habis tu baru naik ke MPL. albert naik ke mpl karna performanya di mdl itu bagus, kalau zunesh tolak ukurnya ambil darimana? Jalur ordal? 😂😂","[MENTION].jangan bandingin sama albert, albert dah main di MDL satu season, habis tu baru naik ke MPL. albert naik ke mpl karna performanya di mdl itu bagus, kalau zunesh tolak ukurnya ambil darimana? Jalur ordal? 😂😂",0,train
Tonton BTR smpe beressss,Tonton BTR smpe beressss,0,train
Bjir tegu cilix jing😂😂,Bjir tegu cilix jing😂😂,0,train
Aku user Ling hadir,Aku user Ling hadir,0,train
5:48 Simpel tapi ngena !!🏴‍☠️𝓟𝓡𝓞𝓑𝓔𝓣855🏴‍☠️,[NUM]:[NUM] Simpel tapi ngena !!🏴☠PROBET855🏴☠,1,train
Cuma evos,Cuma evos,0,train
​@adenziqiikalo kick mage ..gada midliner nya dong ..cuman 4 rol doang malah jadi tai😂😂,[MENTION] kick mage ..gada midliner nya dong ..cuman [NUM] rol doang malah jadi tai😂😂,0,train
Review skin lagi lah kent🔥,Review skin lagi lah kent🔥,0,train
bubarrkann dark sistem bangg,bubarrkann dark sistem bangg,0,train
"Gpp kalah yg penting bukan sama evos, rrq sengaja kalah supaya strategi buat M7 gk kebaca.","Gpp kalah yg penting bukan sama evos, rrq sengaja kalah supaya strategi buat M7 gk kebaca.",0,train
asu,asu,0,train
Kn kata idok boleh kalah ma tim laen tpi ga boleh kalah ma evos,Kn kata idok boleh kalah ma tim laen tpi ga boleh kalah ma evos,0,train
Kapten kita lagi emosi,Kapten kita lagi emosi,0,train
lah pascol main ml sama hok juga wkwk,lah pascol main ml sama hok juga wkwk,0,train
"🤪👆 itu kayak emote ""Loser"" di Fortnite 
Arti ""Loser = pecundang""","🤪👆 itu kayak emote ""Loser"" di Fortnite Arti ""Loser = pecundang""",0,train
Jadi happy liat bkent,Jadi happy liat bkent,0,train
🚀 Main seru nggak pake ribet: Pulau777,🚀 Main seru nggak pake ribet: Pulau777,1,train
"SETUJU GA USAH DIDUKUNG BIARIN,, GA USAH NONTON RRW LAGI

TIM BUSUK SOKSOKAN","SETUJU GA USAH DIDUKUNG BIARIN,, GA USAH NONTON RRW LAGI TIM BUSUK SOKSOKAN",0,train
Halo kink,Halo kink,0,train
"""aku berleher cih tidak akan""😂😂😂😂","""aku berleher cih tidak akan""😂😂😂😂",0,train
Jdi manusia kok iri,Jdi manusia kok iri,0,train
Bisa apa rrq itu bang.. mpl aja gak becusss😅😅😅,Bisa apa rrq itu bang.. mpl aja gak becusss😅😅😅,0,train
Udh yapingnya😂,Udh yapingnya😂,0,train
Jung rrq bagus hazle,Jung rrq bagus hazle,0,train
Claude lambang kekalahan.. Masi aj di pakek,Claude lambang kekalahan.. Masi aj di pakek,0,train
Nanti jg d ganti Rine lg,Nanti jg d ganti Rine lg,0,train
KENT,KENT,0,train
"Rame sih di tiktok pasti,,sutsujin bilang mau pulangin SRG ehh mereka yg di pulangin SRG🗿🗿","Rame sih di tiktok pasti,,sutsujin bilang mau pulangin SRG ehh mereka yg di pulangin SRG🗿🗿",0,train
Jang6 lah agaaaa,Jang6 lah agaaaa,0,train
Lihat RRQ 1 ronde kalah. Auto liat react Bkent 😂,Lihat RRQ [NUM] ronde kalah. Auto liat react Bkent 😂,0,train
aa,aa,0,train
Matc 3 nya nonton gk😅,Matc [NUM] nya nonton gk😅,0,train
Ngakak banget anying wkwkw,Ngakak banget anying wkwkw,0,train
"Mantap betul main di 𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕, cuan terus menerus!","Mantap betul main di DORA77, cuan terus menerus!",1,train
"Kalau kayak gini setiap hari ku pastikan betah main di sini,🀄ℙℝ𝕆𝔹𝔼𝕋855🀄mantap!💯","Kalau kayak gini setiap hari ku pastikan betah main di sini,🀄PROBET855🀄mantap!💯",1,train
INGET GA KATA2 IDOK KATANYA BOLEH KALAH SAMA YG LAIN TAPI TIDAK DENGAN EVOS😂,INGET GA KATA2 IDOK KATANYA BOLEH KALAH SAMA YG LAIN TAPI TIDAK DENGAN EVOS😂,0,train
Channel Rekomendasi ketika RRQ kalah 😂,Channel Rekomendasi ketika RRQ kalah 😂,0,train
"Bagus col, lancecol,, leher mana col","Bagus col, lancecol,, leher mana col",0,train
0099776 km,[NUM] km,0,train
08:07 The next level sh memang Ketuaa👍,[NUM]:[NUM] The next level sh memang Ketuaa👍,0,train
TOP UP TERBAIK CUMA DI OURASTORE.COM MASSEEE!!!,TOP UP TERBAIK CUMA DI OURASTORE.COM MASSEEE!!!,0,train
"buat apasi nama kabar😂, bkent g pernah baca komen","buat apasi nama kabar😂, bkent g pernah baca komen",0,train
05:56 LC disamping ketua yg pake kaos hitam itu ketawa nya puas kali ketua akakakakkw,[NUM]:[NUM] LC disamping ketua yg pake kaos hitam itu ketawa nya puas kali ketua akakakakkw,0,train
Wkwkwkwk bukan botii😂,Wkwkwkwk bukan botii😂,0,train
Eheeeeeee buncit,Eheeeeeee buncit,0,train
Lanang di suruh pose.. ya keluar pose andalan ✌️/👍,Lanang di suruh pose.. ya keluar pose andalan ✌/👍,0,train
Onic aja kenn hahaha,Onic aja kenn hahaha,0,train
om jan toxic,om jan toxic,0,train
09:10 Penataannya keren banget! 𝗕𝗘𝗥𝗞𝗔𝗛𝟵𝟵,[NUM]:[NUM] Penataannya keren banget! BERKAH99,1,train
Pepeq kalah solusi nontonnya ya di bkent lah😂,Pepeq kalah solusi nontonnya ya di bkent lah😂,0,train
Mungkin dia baru tau Ml bang wkwk😂,Mungkin dia baru tau Ml bang wkwk😂,0,train
Om col knpa ramput mu GK tumbuh tumbuh??,Om col knpa ramput mu GK tumbuh tumbuh??,0,train
"Victory bukan kebetulan, tapi kebiasaan ⓅⓊⓁⒶⓊ⑦⑦⑦ 🔥","Victory bukan kebetulan, tapi kebiasaan PULAU777 🔥",1,train
Debi real g ada leher co 😂,Debi real g ada leher co 😂,0,train
Tetep rrq terus walau lokal mulu🗿,Tetep rrq terus walau lokal mulu🗿,0,train
Buset intro lawas,Buset intro lawas,0,train
6:25 Epic moments for pascol😂😂,[NUM]:[NUM] Epic moments for pascol😂😂,0,train
Siapa yg kesini buat nonton komuk bkent pas rrq kalah ☝️,Siapa yg kesini buat nonton komuk bkent pas rrq kalah ☝,0,train
Halo bangg,Halo bangg,0,train
"Gw kangen roaster RRQ
XIN
R7
ALBERT
VYN
CLAY
😢😢
Sekarang gw baru login lagi mulai nonton lagi MPL tau tau dah beda roaster nya",Gw kangen roaster RRQ XIN R7 ALBERT VYN CLAY 😢😢 Sekarang gw baru login lagi mulai nonton lagi MPL tau tau dah beda roaster nya,0,train
🤣🤣🤣🤣🤣😭di lok dora ngakak,🤣🤣🤣🤣🤣😭di lok dora ngakak,0,train
#STOPJUDI,#STOPJUDI,0,train
Ya kalo konsisten pake roster ini masih bisa play off. Kan kemarin sempat ganti ² roster.,Ya kalo konsisten pake roster ini masih bisa play off. Kan kemarin sempat ganti [NUM] roster.,0,train
11:44 kocak banget bg Eko lu sama Yur uda kyk duo terbaik #worldchampion,[NUM]:[NUM] kocak banget bg Eko lu sama Yur uda kyk duo terbaik #worldchampion,0,train
Editor sepertiny lelah krn gaji ny di korup kudanil😂,Editor sepertiny lelah krn gaji ny di korup kudanil😂,0,train
"ringan kali monitor kau ketua, di lempar botol akua kosong lgsg tepar.","ringan kali monitor kau ketua, di lempar botol akua kosong lgsg tepar.",0,train
sutsujin objektif bagus bangat,sutsujin objektif bagus bangat,0,train
"Biken terlalu ramah kalo jadi komentator,harus satu kursi sama pascol Livestream nya biar adu ilmu😁","Biken terlalu ramah kalo jadi komentator,harus satu kursi sama pascol Livestream nya biar adu ilmu😁",0,train
Main di 𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕bikin nagih! Pengen main terus!,Main di DORA77bikin nagih! Pengen main terus!,1,train
Kantor mew😂,Kantor mew😂,0,train
9:13 salfok ama debi,[NUM]:[NUM] salfok ama debi,0,train
"🤎𝐏𝐑𝐎𝐁𝐄𝐓 𝟖𝟓𝟓🤎 Banyak channel bagus, tapi gak semua punya nilai kayak channel kamu Terus berkarya ya, semoga makin banyak yang nemu dan support !!","🤎PROBET [NUM]🤎 Banyak channel bagus, tapi gak semua punya nilai kayak channel kamu Terus berkarya ya, semoga makin banyak yang nemu dan support !!",1,train
​@Steven_Intrepide1lu kan ada si gondrong wkwkkwkw cuaks,[MENTION] kan ada si gondrong wkwkkwkw cuaks,0,train
pirst,pirst,0,train
Apa ppq kalah😮. Auto nntn bkentot 🤡🤡,Apa ppq kalah😮. Auto nntn bkentot 🤡🤡,0,train
Kocak reaksi bren kalo rrq kalah🤭,Kocak reaksi bren kalo rrq kalah🤭,0,train
Akhirnya yg di tunggu2😁 weton88 gas,Akhirnya yg di tunggu2😁 weton88 gas,1,train
Gua suka liat bkent ppq kalah🤣🤣🤣,Gua suka liat bkent ppq kalah🤣🤣🤣,0,train
Tutor Garuda bang 🗿🤌🤌,Tutor Garuda bang 🗿🤌🤌,1,train
Terus mau nantangin siapa Onic ID atau Onic PH yang ada sama aja 🤣,Terus mau nantangin siapa Onic ID atau Onic PH yang ada sama aja 🤣,0,train
Stress nih orang,Stress nih orang,0,train
Tiba² savage ae wkk,Tiba2 savage ae wkk,0,train
Beli aboy pak ap aboy,Beli aboy pak ap aboy,0,train
"Ending nya yang menang yg dewasa , sedangkan yang banyak bacot malah terlihat memalukan","Ending nya yang menang yg dewasa , sedangkan yang banyak bacot malah terlihat memalukan",0,train
"Gak ada yang tau kapan rezeki datang, tapi di 𝐃​‌𝐎‌⁠𝐑‍𝐀‍𝟕‍‍𝟕, semuanya bisa terjadi!","Gak ada yang tau kapan rezeki datang, tapi di DORA77, semuanya bisa terjadi!",1,train
Teguh wkwk,Teguh wkwk,0,train
Api neraka suka penjudi,Api neraka suka penjudi,0,train
halo keratua,halo keratua,0,train
"Waow..Setiap ku coba di,🌍ℙℝ𝕆𝔹𝔼𝕋855🌍langsung senyum aku liat video nya!💯","Waow..Setiap ku coba di,🌍PROBET855🌍langsung senyum aku liat video nya!💯",1,train
Bhagiaaaaa nya aqooooooooh,Bhagiaaaaa nya aqooooooooh,0,train
geloo kocak banget 😂 seru kali nonton nya,geloo kocak banget 😂 seru kali nonton nya,0,train
Panglima gamuk........ Rrq udah tidak aman,Panglima gamuk........ Rrq udah tidak aman,0,train
"Luar biasa! 🔥𝑰𝑺𝑻𝑨𝑵𝑨𝑩𝑬𝑻17🔥, konten ini bener-bener mendalam dan mudah dipahami. Semangat bikin video sebagus ini terus!","Luar biasa! 🔥ISTANABET17🔥, konten ini bener-bener mendalam dan mudah dipahami. Semangat bikin video sebagus ini terus!",1,train
wkwkwk 😂,wkwkwk 😂,0,train
"Tenang aja om, kalo di liat dari judul videonya beliau masih semangat menjadi kingdom","Tenang aja om, kalo di liat dari judul videonya beliau masih semangat menjadi kingdom",0,train
Percuma juga ngasih saran mana pernah mau di respon sama botak tak ada leher ini,Percuma juga ngasih saran mana pernah mau di respon sama botak tak ada leher ini,0,train
SAMPAI MPL ID DAN EVENT² MLBB LAINNYA SUDAH TIDAK ADA LAGI,SAMPAI MPL ID DAN EVENT2 MLBB LAINNYA SUDAH TIDAK ADA LAGI,0,train
Dark sistem detected 😮‍💨,Dark sistem detected 😮💨,0,train
"Ketua knph ga jdi ketua dpr aja, keluar dari ketua naga hitam, jdi anggota dpr, nnti bagi² diamond 😅","Ketua knph ga jdi ketua dpr aja, keluar dari ketua naga hitam, jdi anggota dpr, nnti bagi2 diamond 😅",0,train
𝐀⁠⁠𝐄‌‌𝐑‌𝐎⁠𝟖⁠𝟖 Bikin ngakak gak berhenti.,AERO88 Bikin ngakak gak berhenti.,1,train
yg suka nonton tp jarang comend 👇,yg suka nonton tp jarang comend 👇,0,train
"Gak sabar buat main lagi di 𝐃​‌𝐎‌⁠𝐑⁠𝐀‍​𝟕‍​𝟕, karena rezeki datang tak terduga!","Gak sabar buat main lagi di DORA77, karena rezeki datang tak terduga!",1,train
🤣👍🏻👍🏻,🤣👍🏻👍🏻,0,train
Ini saatnya ga sih kent lu pindah jadi Sonicker😂😂,Ini saatnya ga sih kent lu pindah jadi Sonicker😂😂,0,train
"🌟 “𝐆𝐄𝐋𝐎𝐑𝐀𝟒𝐃 selalu jadi pilihan terbaik, makin keren tiap harinya!”","🌟 “GELORA4D selalu jadi pilihan terbaik, makin keren tiap harinya!”",1,train
"gatotnyaa ragu banget buat maju, navi jdi kurang TB","gatotnyaa ragu banget buat maju, navi jdi kurang TB",0,train
pertama lekk,pertama lekk,0,train
Permata,Permata,0,train
Hujan api hadir lagi ❤❤❤,Hujan api hadir lagi ❤❤❤,0,train
gercep,gercep,0,train
"Kalau leher hilang, itu bukan fashion… itu misteri negara."" 🕵‍♂📸","Kalau leher hilang, itu bukan fashion... itu misteri negara."" 🕵♂📸",0,train
11:05,[NUM]:[NUM],0,train
Wujud asli kingdom,Wujud asli kingdom,0,train
Editor nya gak jelas,Editor nya gak jelas,0,train
"06:00, bikin ketagihan nonton !!🤎𝐏𝐑𝐎𝐁𝐄𝐓 𝟖𝟓𝟓🤎","[NUM]:[NUM], bikin ketagihan nonton !!🤎PROBET [NUM]🤎",1,train
"Terima kasih udah bikin video sekeren ini,❤️𝐓𝐈𝐌𝐎𝟒𝐃❤️ aku merasa dapet banyak banget insight baru. Yang paling aku suka adalah bagaimana kamu bikin penonton merasa nyaman dan gak dihakimi. Doaku yang terbaik buat kamu dan perjalanan channel ini!","Terima kasih udah bikin video sekeren ini,❤TIMO4D❤ aku merasa dapet banyak banget insight baru. Yang paling aku suka adalah bagaimana kamu bikin penonton merasa nyaman dan gak dihakimi. Doaku yang terbaik buat kamu dan perjalanan channel ini!",1,train
Hati terluka tahun lepas  mau balas dendam tpi terluka lg dalam..bye bye rrq..hahahaha,Hati terluka tahun lepas mau balas dendam tpi terluka lg dalam..bye bye rrq..hahahaha,0,train
Udah pakai Miya ketemu tank bele udah pasti bakal sengsara Miyanya,Udah pakai Miya ketemu tank bele udah pasti bakal sengsara Miyanya,0,train
Kenapa kemarin ngk sekalian ulti si puan bg pascol?,Kenapa kemarin ngk sekalian ulti si puan bg pascol?,0,train
15:34 yg penting sekysss nya mati 🤪 dikira yg main cuma sekysss doang kali,[NUM]:[NUM] yg penting sekysss nya mati 🤪 dikira yg main cuma sekysss doang kali,0,train
Undang luan luan botakkkkk,Undang luan luan botakkkkk,0,train
Kembalikan skylar kami😂,Kembalikan skylar kami😂,0,train
​@alipfaturohim3960 HALO BOCILLL KONGDOM WKWK,[MENTION] HALO BOCILLL KONGDOM WKWK,0,train
combo citot nyusahin bgt tuh cici ulti gatot follow up,combo citot nyusahin bgt tuh cici ulti gatot follow up,0,train
Nonton RRQ VS SIAPA PUN klo bukan bknt saya skip..,Nonton RRQ VS SIAPA PUN klo bukan bknt saya skip..,0,train
Main magic chess aja toy ajgg😂😂,Main magic chess aja toy ajgg😂😂,0,train
cuma bisa hero taptap si leher,cuma bisa hero taptap si leher,0,train
pertama koo,pertama koo,0,train
Beriya,Beriya,0,train
"Terserah kalah ma team mana,, yang penting bukan epos","Terserah kalah ma team mana,, yang penting bukan epos",0,train
Respect sama bang pascol ikut demo paling depan ga takut biarpun di tembak gas air mata,Respect sama bang pascol ikut demo paling depan ga takut biarpun di tembak gas air mata,0,train
"Ktanya minta msuuh keras bujang, di tabrak jagoan nangis","Ktanya minta msuuh keras bujang, di tabrak jagoan nangis",0,train
Pokoknya main di 𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕recommended banget deh!,Pokoknya main di DORA77recommended banget deh!,1,train
"Fix, 🚩𝐓𝐈𝐌𝐎𝟒𝐃🚩 nomor satu! Pelayanannya cepet! 👍","Fix, 🚩TIMO4D🚩 nomor satu! Pelayanannya cepet! 👍",1,train
Parah! Main di 𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕bikin ketagihan banget!,Parah! Main di DORA77bikin ketagihan banget!,1,train
Angkongyen Face reveal dong pengen lihat gw sultan satu ini😂,Angkongyen Face reveal dong pengen lihat gw sultan satu ini😂,0,train
​@aidilc-head8796 Cak kocak Lu,[MENTION]-head8796 Cak kocak Lu,0,train
yg katanya skylar terlalu di puja puja eh taunya 2-0😂,yg katanya skylar terlalu di puja puja eh taunya [NUM]-[NUM]😂,0,train
BUSETT DAH YG GUA TUNGGU2 AKHIR NYA NONGOL JUGA.... KEMANA AJA LU KENT BARU LIVE LAGI 😢,BUSETT DAH YG GUA TUNGGU2 AKHIR NYA NONGOL JUGA.... KEMANA AJA LU KENT BARU LIVE LAGI 😢,0,train
𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕mungkin yang Anda cari dalam hiburan daring.,DORA77mungkin yang Anda cari dalam hiburan daring.,1,train
"Gagah berani lu bang ada di barisan depan waktu demo🖕🖕

Eh sorry bang harus nya emot ini >>👍👍👍",Gagah berani lu bang ada di barisan depan waktu demo🖕🖕 Eh sorry bang harus nya emot ini >>👍👍👍,0,train
"Mending ikut demo lagi col, keluarkan ulti makian kematianmu di depan gedung DPR pakai speaker","Mending ikut demo lagi col, keluarkan ulti makian kematianmu di depan gedung DPR pakai speaker",0,train
angkongyen kena ulti 😂,angkongyen kena ulti 😂,0,train
"iya lagih bang, cuma tetep gw nonton bkentod. tapi kaya ada yg kurang","iya lagih bang, cuma tetep gw nonton bkentod. tapi kaya ada yg kurang",0,train
Hayabusa menit 10 level 15,Hayabusa menit [NUM] level [NUM],0,train
ngapain maen sama raze boy mulu. Hama taik.,ngapain maen sama raze boy mulu. Hama taik.,0,train
Bang pascol demo kah?,Bang pascol demo kah?,0,train
Gokiill anjjay gegara komenan Ga ru da hoki dpt jp 75jt wkwkw🤣,Gokiill anjjay gegara komenan Ga ru da hoki dpt jp 75jt wkwkw🤣,1,train
"01:12 Wow, 𝐓𝐈𝐌𝐎𝟒𝐃 keren! Pengen share ke temen! 🔥","[NUM]:[NUM] Wow, TIMO4D keren! Pengen share ke temen! 🔥",1,train
Gue yakin 𝑰𝑺𝑻𝑨𝑵𝑨𝑩𝑬𝑻17❤️ udah pernah bikin versi ini,Gue yakin ISTANABET17❤ udah pernah bikin versi ini,1,train
𝔾𝔸 ℝ𝕌 𝔻𝔸 ℍ𝕆 𝕂𝕀..Member_baru pasti_jepe,GA RU DA HO KI..Member_baru pasti_jepe,1,train
Oto kali 🤣🤣🤣🤣,Oto kali 🤣🤣🤣🤣,0,train
Balikin Skylar kami...,Balikin Skylar kami...,0,train
"Tim musuh pakai skin baru semua, auto mental down.","Tim musuh pakai skin baru semua, auto mental down.",0,train
Kenapa sih semua orang tiba-tiba ngomongin ＰＵＬＡＵＷＩＮ? Kok kayak ada sesuatu yang gue lewatin.,Kenapa sih semua orang tiba-tiba ngomongin PULAUWIN? Kok kayak ada sesuatu yang gue lewatin.,1,train
𝐃⁠​𝐎‍𝐑⁠⁠𝐀⁠‍𝟕‍⁠𝟕menyediakan pengalaman daring yang mudah dan tanpa repot.,DORA77menyediakan pengalaman daring yang mudah dan tanpa repot.,1,train
"Gk belajar balajar dr kekalahannya, parah","Gk belajar balajar dr kekalahannya, parah",0,train
Sok keras kau ketua tidak ngeban,Sok keras kau ketua tidak ngeban,0,train
😂🤣🤣,😂🤣🤣,0,train
gokssss,gokssss,0,train
Pulau777 selalu siap temani kamu 😎,Pulau777 selalu siap temani kamu 😎,1,train
Kasihannya ke bkent,Kasihannya ke bkent,0,train
Wkwkwk tim tolol😂 darksistem mpl ppq ke gini main begini mau balas dendam Wek 2 ke onic lawak ppq😂😂,Wkwkwk tim tolol😂 darksistem mpl ppq ke gini main begini mau balas dendam Wek [NUM] ke onic lawak ppq😂😂,0,train
Apa Ini Karma RRQ Yang Sudah Membuang Skayler 🥵,Apa Ini Karma RRQ Yang Sudah Membuang Skayler 🥵,0,train
"​@l.o.r.d7753 sama bro gua suka onic kage karna jujur aja dari season 1 dan 2 males liat rrq evos digoreng goreng banget lemon x jessnolimit
tiba tiba ada 1 tim monster kuat banget juara mpl di final pun ngebantai ws sampe MSC 2019",[MENTION].o.r.d7753 sama bro gua suka onic kage karna jujur aja dari season [NUM] dan [NUM] males liat rrq evos digoreng goreng banget lemon x jessnolimit tiba tiba ada [NUM] tim monster kuat banget juara mpl di final pun ngebantai ws sampe MSC [NUM],0,train
"gemes banget liat ini orang main miya kyk gapunya skill 1, pencet lah pencett itu nggak cuma nyebar damage ada bonusnyaa juga meski musuh sendirian abangggg","gemes banget liat ini orang main miya kyk gapunya skill [NUM], pencet lah pencett itu nggak cuma nyebar damage ada bonusnyaa juga meski musuh sendirian abangggg",1,train
4:06 teguh ceper Kayan bayi cokah 😂😂 bg,[NUM]:[NUM] teguh ceper Kayan bayi cokah 😂😂 bg,0,train
Mending nonton BTRP ketua😢,Mending nonton BTRP ketua😢,0,train
9:11 hero chip musuh coba liat sampe muter ditower pke awan...wkwkwkwkwkk😂😂😂😂😂😂😂,[NUM]:[NUM] hero chip musuh coba liat sampe muter ditower pke awan...wkwkwkwkwkk😂😂😂😂😂😂😂,0,train
GA USAH PAKE LANCE BERAT GENDONG NYA ITU SI UJIN,GA USAH PAKE LANCE BERAT GENDONG NYA ITU SI UJIN,0,train
"Salut sama kualitasnya! 𝑰𝑺𝑻𝑨𝑵𝑨𝑩𝑬𝑻17❤️, isi videonya penuh wawasan dan penyampaiannya bikin semangat. Top!","Salut sama kualitasnya! ISTANABET17❤, isi videonya penuh wawasan dan penyampaiannya bikin semangat. Top!",1,train
Saya dong top global belerick,Saya dong top global belerick,0,train
Dower dower tuh bibirnya ketua😂😂😂😂,Dower dower tuh bibirnya ketua😂😂😂😂,0,train
MANA KATANYA MAU LIVE DI CHINA,MANA KATANYA MAU LIVE DI CHINA,0,train
Hujan api,Hujan api,0,train
Bego ih,Bego ih,0,train
"Tiap scroll feed explore, selalu ada 𝓟𝓾𝓵𝓪𝓾𝔀𝓲𝓷 muncul.","Tiap scroll feed explore, selalu ada Pulauwin muncul.",1,train
Duh. Nungguin live nya malah patah2. Untung ada dibikinin recordnya.,Duh. Nungguin live nya malah patah2. Untung ada dibikinin recordnya.,0,train
"Bangga lu makan uang haram ??? 
Duit segitu 1 minggu mah bisa gua dapetin.. 
Dan yg pasti 1000% HALLALL !!!",Bangga lu makan uang haram ??? Duit segitu [NUM] minggu mah bisa gua dapetin.. Dan yg pasti [NUM]% HALLALL !!!,0,train
"GUE KIRA TOKEN LISTRIK GUE ABIS MENIT""16""","GUE KIRA TOKEN LISTRIK GUE ABIS MENIT""[NUM]""",0,train
Ketua coba kau add ini akun pejabat 26525063 cek squadnya,Ketua coba kau add ini akun pejabat [NUM] cek squadnya,0,train
"menang di puja""kalah di taik""in.gimna sih.","menang di puja""kalah di taik""in.gimna sih.",1,train
lemes banget kaya nya ketua RRQ kalah lagi😂😂,lemes banget kaya nya ketua RRQ kalah lagi😂😂,0,train
Dyrenn polos bngt,Dyrenn polos bngt,0,train
"Semua orang tertuju pada perfom rinz yg jelek, gua setuju sih emang jelek. 
Tapi Gua malah ke rave.kenapa rave?? 
Karena rave notabene nya di mdl bersama rrq Sena yg gk lolos play-off. 
Tapi malh dinaikkan ke play-off mpl id season 15 ke rrq hoshi. 
Waktu itu udah feeling, bakal rungkat nih.
Pas play-off game play aja dah berubah, nggak se agresif kayak reguler season. 
Apalagi season 16 makin ancur. 
Bisa Kebetulan banget njir😂","Semua orang tertuju pada perfom rinz yg jelek, gua setuju sih emang jelek. Tapi Gua malah ke rave.kenapa rave?? Karena rave notabene nya di mdl bersama rrq Sena yg gk lolos play-off. Tapi malh dinaikkan ke play-off mpl id season [NUM] ke rrq hoshi. Waktu itu udah feeling, bakal rungkat nih. Pas play-off game play aja dah berubah, nggak se agresif kayak reguler season. Apalagi season [NUM] makin ancur. Bisa Kebetulan banget njir😂",0,train
marah2 mulu nih orang,marah2 mulu nih orang,0,train
TOP UP DIAMOND TERBAIK CUMA DI OURASTORE.COM!,TOP UP DIAMOND TERBAIK CUMA DI OURASTORE.COM!,0,train
"Sumpah kalau lagi lost streak, musuh selalu dapet combo meta perfect, sementara tim sendiri kayak baru belajar main. Udah pick aneh, retri nggak kepake, war juga asal maju. Pantes aja push rank jadi drama.","Sumpah kalau lagi lost streak, musuh selalu dapet combo meta perfect, sementara tim sendiri kayak baru belajar main. Udah pick aneh, retri nggak kepake, war juga asal maju. Pantes aja push rank jadi drama.",0,train
HALLO KETUA DEMO MAJU KETUA RATAKAN DPR DARK SYSTEM,HALLO KETUA DEMO MAJU KETUA RATAKAN DPR DARK SYSTEM,0,train
RRQ SEKARANG TIM ANAK ANAK GRAND MASTER,RRQ SEKARANG TIM ANAK ANAK GRAND MASTER,0,train
Kangen Filter yang dulu yakin😔,Kangen Filter yang dulu yakin😔,0,train
anjirrr ngakak. kairi kontol kairi kontol,anjirrr ngakak. kairi kontol kairi kontol,0,train
"Semua team badut, semua orang tau","Semua team badut, semua orang tau",0,train
Yang ngelike pun bloon hama 😂,Yang ngelike pun bloon hama 😂,0,train
Sudah sembuh ketua?,Sudah sembuh ketua?,0,train
𝐀⁠⁠𝐄‌‌𝐑‌𝐎⁠𝟖⁠𝟖 Suka banget sama konsepnya.,AERO88 Suka banget sama konsepnya.,1,train
Gua bahagia bang😂,Gua bahagia bang😂,0,train
Kent udah bosen nobar mpl kyknya,Kent udah bosen nobar mpl kyknya,0,train
Pulau777 selalu seru bareng kamu 🌴,Pulau777 selalu seru bareng kamu 🌴,1,train
Kick mage nya di jamin bakal lebih baik🙌,Kick mage nya di jamin bakal lebih baik🙌,0,train
Respect Ketua,Respect Ketua,0,train
Lama2 nih hero banting Hp,Lama2 nih hero banting Hp,0,train
Saya ke sini mau bilang respect ke abang pascol yg ikut demo❤ smngt trus buat abang ku❤,Saya ke sini mau bilang respect ke abang pascol yg ikut demo❤ smngt trus buat abang ku❤,0,train
PASCOL KENTOT BURIT,PASCOL KENTOT BURIT,0,train
WKWK BANG PASVOL IKUT DEMO GAES..,WKWK BANG PASVOL IKUT DEMO GAES..,0,train
RRQ kalah 0-2 serius la pak AP 😂😂,RRQ kalah [NUM]-[NUM] serius la pak AP 😂😂,0,train
Editor Tek muka ketua lebarin lagi lahhhh,Editor Tek muka ketua lebarin lagi lahhhh,0,train
"Satu senjata udah keluar, gara² kingdom kurang sabar,  pengen nya menang Mulu , padahal pertarungan sesungguhnya itu di play off,  padahal sutsujin di keluarin KLO memang mendesak, saya rasa dyrennn juga gitu.. baru berapa match udah pada koar²., padahal RRQ masih aman di zona play off..","Satu senjata udah keluar, gara2 kingdom kurang sabar, pengen nya menang Mulu , padahal pertarungan sesungguhnya itu di play off, padahal sutsujin di keluarin KLO memang mendesak, saya rasa dyrennn juga gitu.. baru berapa match udah pada koar2., padahal RRQ masih aman di zona play off..",0,train
Wkwk hero sendiri di hina2 selama ini si pascol make hero apa dong? 😹,Wkwk hero sendiri di hina2 selama ini si pascol make hero apa dong? 😹,0,train
Gelo king evos nih bos,Gelo king evos nih bos,0,train
"Izin clip bang, udsng paket lengkap","Izin clip bang, udsng paket lengkap",0,train
noob,noob,0,train
Moonton tolong miya di ban se bulan,Moonton tolong miya di ban se bulan,0,train
Boring bg tar justru pascol juga pasti udh paham udh ngerti tapi tetep harus di jalanin trs,Boring bg tar justru pascol juga pasti udh paham udh ngerti tapi tetep harus di jalanin trs,0,train
Player lg mode hukum pak ap😂,Player lg mode hukum pak ap😂,0,train
